Epoch,Loss,Accuracy
1,0.7936984293559599,0.5448884758364312
2,0.3511582486904584,0.8408457249070632
3,0.06669408593742872,0.9759293680297397
4,0.02504783212386358,0.9911710037174721
5,0.01459416086660125,0.9945631970260222
1,0.019406229614923547,0.9934479553903346
2,0.013645891636436442,0.9953531598513011
3,0.015373164034439437,0.9953066914498141
4,0.008136126310269234,0.9972118959107806
5,0.012263544542648136,0.9954925650557621
6,0.007016912112719867,0.9976765799256505
7,0.004867974825763603,0.9981412639405205
8,0.0025961564755186627,0.9990241635687732
9,0.005493557817992674,0.9983271375464684
10,0.0009892504819827108,0.999721189591078
11,0.0009741584865638912,0.9996747211895911
12,0.00040897043952140114,0.999860594795539
13,0.00019031337075270185,0.999953531598513
14,5.809294502590111e-05,1.0
15,1.4926583757699232e-05,1.0
16,0.0005045408258448873,0.999907063197026
17,0.00014464157097929565,0.999907063197026
18,2.6496281770253856e-05,1.0
19,2.1222357730542655e-05,1.0
20,2.281017470122357e-05,1.0
21,5.853394034001328e-05,1.0
22,1.2825454539967141e-05,1.0
23,1.5006741664320541e-05,1.0
24,8.435990051437739e-05,0.999953531598513
25,2.7720685071673268e-05,1.0
26,9.66335699787307e-06,1.0
27,0.0004213539668297281,0.9997676579925651
28,0.002542689116937685,0.9991635687732342
29,0.004409716853802476,0.9985130111524163
30,0.00241936948702351,0.9992100371747212
31,0.008434310265302352,0.9971654275092937
32,0.005763316388453682,0.9980947955390335
33,0.003723051017214647,0.9986524163568773
34,0.007403998038106687,0.9972118959107806
35,0.00644256728791059,0.9976765799256505
36,0.004726200878153429,0.9983271375464684
37,0.005950714059963502,0.9984200743494424
38,0.0048455395268433,0.9983271375464684
39,0.006867998904959871,0.9974907063197026
40,0.004801947851290111,0.9986988847583643
41,0.008892290823148845,0.9971189591078067
42,0.009040310080545491,0.9969330855018588
43,0.0009204958608172789,0.9996282527881041
44,0.002318641051613953,0.9991171003717472
45,0.005790285281105732,0.9980483271375464
46,0.0005328101520598542,0.9998141263940521
47,0.001030022267791295,0.9996282527881041
48,0.0020406991151223847,0.9993029739776952
49,0.0009452807921087478,0.9996747211895911
50,0.00012758635898903314,0.999953531598513
51,0.00018618796793208562,0.999907063197026
52,5.140201945101332e-05,1.0
53,3.40420557970518e-05,1.0
54,7.517786750597886e-06,1.0
55,6.728342968093662e-06,1.0
56,4.869954734157e-06,1.0
57,1.6995384637797869e-06,1.0
58,3.253699978600629e-06,1.0
59,8.011750179143404e-06,1.0
60,4.22888810919822e-06,1.0
61,6.8514067601183814e-06,1.0
62,6.231878215749169e-07,1.0
63,1.645251832144967e-05,1.0
64,0.00021379578601664643,0.999953531598513
65,0.00015097522421417216,0.999907063197026
66,1.1083336999071807e-05,1.0
67,3.582546189877023e-06,1.0
68,1.9531817558572107e-06,1.0
69,1.6202853921077182e-06,1.0
70,1.6728140559136364e-06,1.0
71,3.3953451424738264e-06,1.0
72,0.006271303243134753,0.9981412639405205
73,0.013037269602793361,0.99567843866171
74,0.0036745189294723514,0.9986524163568773
75,0.00236838615452014,0.9991635687732342
76,0.003739239742723974,0.9985130111524163
77,0.004630431716546788,0.9987918215613383
78,0.0056318954192575,0.9980018587360595
79,0.0068628984216521265,0.9974442379182156
80,0.003771263559575566,0.9986059479553904
81,0.0029122826553821305,0.9991171003717472
82,0.00047112585540334275,0.9998141263940521
83,0.001496230729883044,0.999581784386617
84,0.0021158626084982336,0.9994888475836431
85,0.00013350034762417081,0.999953531598513
86,6.619577268017559e-05,0.999953531598513
87,0.003411146633352833,0.9988382899628253
88,0.00037268282908877685,0.999953531598513
89,4.7565704772057516e-05,1.0
90,1.7306247453332944e-05,1.0
91,4.000944793781008e-05,1.0
92,1.1354366917878303e-05,1.0
93,1.923983973285487e-06,1.0
94,4.295388005429218e-06,1.0
95,4.612194167441651e-06,1.0
96,1.1719487130738878e-05,1.0
97,1.8475476844089243e-06,1.0
98,2.3489650032060205e-06,1.0
99,5.259808912492935e-06,1.0
100,1.354072664097709e-06,1.0
